epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,747.512,0.42773,0.30344,0.81963,0.93765,0.95321,0.97696,0.89088,0.46984,0.4004,0.80883,0.000404375,0.000404375,0.000404375
43,765.286,0.42735,0.30419,0.81975,0.95765,0.96757,0.98709,0.90967,0.44361,0.30201,0.80206,0.00038375,0.00038375,0.00038375
44,782.804,0.42962,0.30397,0.81645,0.94124,0.93865,0.98055,0.9033,0.4278,0.40716,0.79809,0.000363125,0.000363125,0.000363125
45,799.687,0.42872,0.28884,0.81919,0.94818,0.98508,0.99162,0.91056,0.43406,0.26345,0.80049,0.0003425,0.0003425,0.0003425
46,816.517,0.41517,0.28967,0.81371,0.97852,0.9636,0.98907,0.90649,0.42527,0.28202,0.8008,0.000321875,0.000321875,0.000321875
47,833.393,0.41806,0.29081,0.81356,0.90608,0.94159,0.9781,0.90107,0.42866,0.38615,0.79858,0.00030125,0.00030125,0.00030125
48,850.127,0.42964,0.28328,0.81579,0.9703,0.95542,0.98249,0.90027,0.45544,0.28691,0.80089,0.000280625,0.000280625,0.000280625
49,867.43,0.4145,0.2731,0.81252,0.95487,0.96664,0.98395,0.9089,0.42201,0.28896,0.79792,0.00026,0.00026,0.00026
50,885.35,0.41882,0.26456,0.81573,0.95742,0.95191,0.98877,0.9102,0.43058,0.32086,0.79816,0.000239375,0.000239375,0.000239375
51,905.287,0.4101,0.23941,0.80057,0.97392,0.94613,0.98658,0.90794,0.43045,0.32911,0.79775,0.00021875,0.00021875,0.00021875
52,922.013,0.39452,0.2355,0.80088,0.93111,0.93903,0.98627,0.91213,0.41801,0.35643,0.79715,0.000198125,0.000198125,0.000198125
53,938.609,0.39063,0.23092,0.80159,0.92265,0.92928,0.9752,0.90082,0.41498,0.42216,0.79775,0.0001775,0.0001775,0.0001775
54,954.98,0.39802,0.22045,0.7985,0.95021,0.96386,0.9821,0.90356,0.42825,0.34494,0.79754,0.000156875,0.000156875,0.000156875
55,971.256,0.3951,0.21803,0.80171,0.93494,0.92932,0.97063,0.89816,0.42315,0.46231,0.79734,0.00013625,0.00013625,0.00013625
56,988.1,0.38844,0.20399,0.79996,0.94524,0.93371,0.97605,0.90049,0.43421,0.37376,0.80057,0.000115625,0.000115625,0.000115625
57,1004.68,0.39136,0.20915,0.80381,0.95285,0.9532,0.98504,0.90985,0.42725,0.31631,0.79878,9.5e-05,9.5e-05,9.5e-05
58,1021.4,0.38255,0.19901,0.79707,0.96671,0.96995,0.98331,0.91215,0.42607,0.28801,0.79855,7.4375e-05,7.4375e-05,7.4375e-05
59,1038.71,0.38208,0.19618,0.79798,0.96122,0.94125,0.97766,0.9,0.42489,0.34392,0.79903,5.375e-05,5.375e-05,5.375e-05
60,1055.91,0.37925,0.18769,0.79332,0.94511,0.96539,0.9771,0.90267,0.42512,0.33983,0.79888,3.3125e-05,3.3125e-05,3.3125e-05
